text,朝食,夕食,風呂,サービス,立地,施設,部屋
受験生ということでお守りを渡してくださいました。,0,0,0,1,0,0,0
ちょっとした気遣いいが嬉しかったです。,0,0,0,1,0,0,0
無料の食事もおいしかったです。,1,1,0,0,0,0,0
１階にはスーパーもありコンビニもすぐ近くで便利でした。,0,0,0,0,0,1,0
お風呂に洗い場があるのが長期滞在には嬉しかったです。,0,0,1,0,0,0,0
駅にも近く便利です。,0,0,0,0,1,0,0
30年7/6?7宿泊しました、部屋が家族4人では少し狭く感じました。,0,0,0,0,0,0,1
7日は、私の誕生日だったのですが、家族の者がホテルスタッフに伝えておいたところ、朝バイキングで忙しい所スタッフがサプライズバースディを開いてくれました大変感激しました。,0,0,0,1,0,0,0
支払い時はスタッフの方からプレゼントまで頂き驚きました、また利用したいと思います。,0,0,0,1,0,0,0
まず、フロントのお兄さんがすごい気持ち良い！,0,0,0,1,0,0,0
飲みに行って、早朝四時に戻ったにもかかわらず素晴らしいスマイルで応対してくれました。,0,0,0,1,0,0,0
あとこれはどのホテルでもそうなんですが、ソーセージがおいしくない…比較するのも悪いんですが、東京とかのビジネスホテルで中級以上はソーセージが違うんですよね。,1,1,0,0,0,0,0
コスト考えると難しいと思いますが、ソーセージって和食でも洋食でも食べると思うんで、もうちょっとこだわってほしいかも。,1,0,0,0,0,0,0
温泉も気持ちよく朝のバイキングの名古屋メシはサイコーでした。,1,0,1,0,0,0,0
気になるところは廊下の天井が低いのと、部屋数がたくさんあり、温泉が集中するとお風呂まちになるところくらいですかね。,0,0,1,0,0,1,0
でも名古屋の中心部でこの金額で文句は全然ありません。,0,0,0,0,1,0,0
部屋もまあまあ良かったですし、食事もバイキングでいろいろ食べれて良かったです。,1,1,0,0,0,0,1
ただ、部屋においてあったアンケート用紙が前に宿泊した人達が記入したのアンケート用紙だったので、驚きました。,0,0,0,0,0,1,0
今回はたまたまなのか、お風呂のお湯がずいぶん汚れているときにあたってしまったのが残念でした（何度か利用していますが、このようなことは初めてだったので…）。,0,0,1,0,0,0,0
駅直結のため、雨が降っても傘いらずで、立地は大変便利です。,0,0,0,0,1,0,0
ロビーのアロマの香りにも癒されます。,0,0,0,0,0,1,0
部屋はシングルだと少々狭いですが、ズボンプレッサーも部屋に備え付けてあり、これは気が効くなと思いました。,0,0,0,0,0,1,1
あと、いつも思いますが、綿棒を置いて欲しいです。,0,0,0,0,0,1,0
朝食も魚沼産こしひかりがとても美味しく、大満足です。,1,0,0,0,0,0,0
おかずの品数も多く、ある意味朝食を楽しみに泊まっていると言ってもイイです。,1,0,0,0,0,0,0
総じてレベルが高く、落ち着くホテルです。,1,1,1,1,1,1,1
ファミリー向けの細かい気配りが本当にありがたい。,0,0,0,1,0,0,0
プールも宿泊日はチェックイン前から入れました！,0,0,0,1,0,1,0
朝の7時にビュッフェ会場に入りましたが、並ばずにスムーズに入れました。,1,0,0,1,0,0,0
また、テイクアウト用のコーヒーがあるのもうれしいです。,0,0,0,0,0,1,0
海浜幕張から少し歩きますが、立地はとても良いと思います。,0,0,0,0,1,0,0
良かった点は朝食です。,1,0,0,0,0,0,0
種類も多く、どれにしようか迷う位です。,1,0,0,0,0,0,0
ひっつみもスープだけになっていました。,1,1,0,0,0,0,0
補充がしっかりされればいいですね。,1,0,0,0,0,0,0
夕飯のバイキングの品数が少なかった。,0,1,0,0,0,0,0
チキンナゲット、ポテトが固くて美味しくなかったのがです。,1,1,0,0,0,0,0
朝食は、美味しかったです。,1,0,0,0,0,0,0
3名で予約していたのですが急遽2名でしか行けなくなってしまって電話にて相談させて頂いたところとても親切で迅速に対応していただきました。,0,0,0,1,0,0,0
またお部屋も最上階でそれだけでテンション上がってしまいました。,0,0,0,0,0,0,1
来館の車の数から混雑してるだろうと思いきや、館内の広さからかそれは感じられず、風呂、バイキング会場全て満足できました。,0,0,1,1,0,1,0
館内は綺麗に清掃されており外観は古そうですが落ち着きのある感じでよかったです。,0,0,0,1,0,1,0
女将劇場は賛否両論分かれるとは思いますがみんな頑張ってらっしゃってすごいなーと思いました。,0,0,0,1,0,0,0
また、記念日のサプライズを演出して下さったスタッフの方には、とても好印象を受けました。,0,0,0,1,0,0,0
このような細やかな気遣いが、「また行きたい」と感じさせるプロの業なのだと思います。,1,1,1,1,1,1,1
余りにも良い接客でビックリです。,0,0,0,1,0,0,0
他の人達も書かれてますが、細かい所に気を使われてまして、塵一つ落ちてません。,0,0,0,1,0,0,0
多少古いのは、返って此方の気持ちを落ち着かせて頂きました。,0,0,0,0,0,1,0
お食事も申し分ございませんでした。,1,1,0,0,0,0,0
施設全体に清潔感があり、快適に過ごす事が出来ました。,0,0,0,1,0,1,0
バイキングは品数、味も良かったと思います。,1,1,0,0,0,0,0
温泉は私には程良い温度でした。,0,0,1,0,0,0,0
家族連れで利用させてもらいましたが、男子トイレの車椅子用と思われるところに、子供用の補助便座とステップが置いてあり、３歳の息子が利用するのに大変助かりました。,0,0,0,0,0,1,0
朝食バイキングの種類も豊富で、岩盤浴も無料で満喫でき、この値段は大変お値打ちだと思います。,1,0,1,0,0,0,0
ホテルの目の前に駐車できればもっと便利だったと思いますが、また機会があればぜひ利用したいと思います。,0,0,0,0,0,1,0
他の方のコメントにもありましたが、①ウォシュレットが付いているのに、便座が冷え冷えで、ビックリしました。,0,0,0,0,0,0,1
②朝食はなかなかおいしかったです。,1,0,0,0,0,0,0
③表の鉄階段でも、朝の時間帯は開放するべきです。,0,0,0,1,0,1,0
他のビジネスでも普通にやっています。,0,0,0,1,0,1,0
入口から逆流を心配するなら、マンションのように外からは開かなくすれば問題ないかと④水のサービスがありますが、ただフロントにおいてあるだけで、持って行きづらいです。,0,0,0,1,0,1,0
⑤正月限定の生ビールサービスはとても良いです,0,0,0,1,0,1,0
他レビューにUSJや駅から若干遠いというコメがありましたが、全然気にならない程度の距離感でした。,0,0,0,0,1,0,0
ヴュッフェの内容は良かったです。,1,1,0,0,0,0,0
スタッフの方々の動きも無駄なく機敏。,0,0,0,1,0,0,0
お風呂は洗い場含めて十分な広さがあり、満足。,0,0,1,0,0,0,0
お部屋の掃除も毎日行き届いてました。,0,0,0,1,0,0,1
廊下ですれ違う際の清掃してくださる方々の挨拶が気持ちよかったです。,0,0,0,1,0,0,0
出来たばかりのきれいなホテルなので、また泊まりたいです。,0,0,0,0,0,1,0
和食も洋食もどっちも置いてあって気分で選んで食べれるのがとても良かったです。,1,1,0,0,0,0,0
おかずは野菜がとりいれてあったりさっぱり系の味で朝食べるのにちょうどいいと思いました。,1,0,0,0,0,0,0
ドリンクもたくさんあり、日替りの海老カツと豚と野菜の旨煮が特に美味しかったです。,1,1,0,0,0,0,0
目的地から距離がそこそこある。,0,0,0,0,1,0,0
部屋は清潔感があって良い。,0,0,0,1,0,0,1
風呂は明るくきれいで広い。,0,0,1,1,0,0,0
朝食は、無料のレベルではない。,1,0,0,0,0,0,0
結論としては、この価格でこの質の宿泊をできるのであれば大満足です！,1,1,1,1,1,1,1
とても広い部屋で窓の外は海、風呂場からも海が見えて雰囲気のいい空間でした。,0,0,1,0,0,0,1
部屋の展望風呂と大浴場に二回、計三回入って満喫できました！,0,0,1,0,0,0,0
食事も豪華でとても良かったです。,0,1,0,0,0,0,0
アワビのステーキ、牛しゃぶ、目の前で炊いてくれる蛸飯、お刺身などとても美味しく満足でした。,0,1,0,0,0,0,0
一方で、夕食が豪華だったので朝食のバイキングにも期待しましたが、思ったほど種類がないように感じました。,1,0,0,0,0,0,0
お部屋は快適で、また朝ごはんも良かったのですが、一点残念だったのが湯船にお湯をはったところ泡立ってきたことです。,1,0,1,0,0,0,1
洗剤だったのか何だったのかわかりませんが、不安だったので湯船には浸からずシャワーで過ごしました。,0,0,1,0,0,0,0
そのため、せっかく入浴剤のご用意のあるお部屋でしたが使用できず、少し勿体無い気持ちになりました。,0,0,1,0,0,0,0
お部屋も思っていたより広く、綺麗で良かったです。,0,0,0,1,0,0,1
接客も凄く丁寧でお料理も美味しかった。,1,1,0,1,0,0,0
貸切風呂も開放感があって良かっです。,0,0,1,0,0,0,0
人気のホテルなので夜分遅く着くと駐車場の空がなかなか探せません。,0,0,0,0,0,1,0
しょうがないことなのですが、そこでフロントに訊ねるとすぐに空き場所を案内出来る体制にしてもらえるとうれしいです。,0,0,0,1,0,0,0
またそういうサービスを行っていることを告知してもらえれば、真っ先にフロントに聞きに行きます。,0,0,0,1,0,0,0
食事のバイキングも美味しかったですし、種類も多く良かったです。,1,1,0,0,0,0,0
ホテル内に娯楽施設がたくさんあったので、子供も大変喜んでいました。,0,0,0,0,0,1,0
この日は隣の国際会議場のせいだと思うが思った部屋が予約出来なかった。,0,0,0,1,0,0,0
仕方なくセミダブルの部屋で予約したが、やはり二人で寝るのは狭い。,0,0,0,0,0,0,1
レモネの夕食ビアフェアはゆっくりでき食事美味しかった。,0,1,0,0,0,0,0
感想としては、値段相応の満足が得られました。,1,1,1,1,1,1,1
貸し切り露天風呂は大変満足でした。,0,0,1,0,0,0,0
ただし、大浴場（貸し切り露天風呂含め）や食事会場が部屋から若干遠いかなと思いました。,0,0,0,0,0,1,0
お食事もバイキングでしたの種類は豊富で楽しめました。,1,1,0,0,0,0,0
全体的にスタッフさんのサービスはよく楽しい思い出となりました。,0,0,0,1,0,0,0
朝食は時間帯でトースターが込み合い使えないのが残念です。,1,0,0,1,0,0,0
アーモンドトーストを食べてみたいが未だかつて１０回以上食せない状況です。,1,0,0,0,0,0,0
それほどに美味しいんでしょうね！？,1,0,0,0,0,0,0
トースターは安いので増設されたほうが良いのではないでしょうか。,1,0,0,1,0,0,0
結構、皆さん待ってましたよ！,0,0,0,0,0,1,0
幼児は上手く飲めずパジャマをぬらしました。,0,0,0,0,0,1,0
コップで飲めるタイプにしてほしいです。,0,0,0,0,0,1,0
・朝食バイキングのひつまぶしのご飯がベチャベチャだった。,1,0,0,0,0,0,0
スタッフ皆さんの笑顔の応対が気持ちよかった。,0,0,0,1,0,0,0
朝食の量も自分に合わせて食べられるので良かったです。,1,0,0,0,0,0,0
ところで一つだけ不満に思ったのは浴室の浴槽が水垢で汚れているような感じだったのでシャワーだけで済ましました。,0,0,1,1,0,0,0
もっと丁寧に浴槽の掃除をしていてもらいたかったです、それ以外はとても快適でした。,0,0,0,1,0,0,0
価格・部屋の仕様・サービスは、充分満足！,0,0,0,1,0,0,1
施設・設備は大変よかったと思います。,0,0,0,0,0,1,0
お風呂の広さ浴槽の形等は子供たちも満足していました。,0,0,1,0,0,0,0
残念だったのはスタッフの対応の悪さです。,0,0,0,1,0,0,0
朝食の混雑時間を聞いたらわかりませんの一言、こちらとしては3連休が3回目でありその中日は以前混雑した時間はいついつ頃でした等正確な時間は聞いていないのに残念な言い方をされました。,0,0,0,1,0,0,0
朝食会場のスタッフも人手不足なのか疲れているのか対応が悪かったです。,1,0,0,1,0,0,0
宿泊当日雨でしたが駅から近くとても便利、食事に行くにも観光するにも動きが良かった。,0,0,0,0,1,0,0
フリードリンクと朝食付きは値段からみても良いと思います。,1,0,0,0,0,1,0
残念なのは設備が古い為か、浴槽底が気になったのとエレベーターの揺れが気になりました。,0,0,1,0,0,1,0
関内の駅にとても近くて、健全なオフィス街にあるので安全です。,0,0,0,0,1,0,0
コンフォートホテルなら間違いないと思わせてくれる、よい体験でした。,1,1,1,1,1,1,1
サービスの朝食も種類が豊富で、おにぎり、太巻き、おいなりさん、パンも種類が豊富でした。,1,0,0,0,0,0,0
スープも和と洋用意されていて、なによりもコーヒーがいつでも無料で飲めるのが最高でした。,1,0,0,0,0,1,0
部屋に持ち込めるので、とてもくつろげました。,0,0,0,0,0,1,0
ここはお料理もローストビーフが出たり、煮物やデザートも凝っていて本当に美味しいです。,1,1,0,0,0,0,0
朝のフレンチトーストも絶品です！,1,0,0,0,0,0,0
賞を取るだけがあるお食事です。,1,1,0,0,0,0,0
離乳食があるのも助かります。,1,1,0,0,0,0,0
お部屋も和洋室で広く、ガス台、レンジもあったり親も子供も大喜び。,0,0,0,0,0,0,1
住みたいね、なんて話した位です。,0,0,0,0,0,1,1
子供ウェルカムのホテルなので、キッズスペースがあったり、授乳部屋やオムツ替台もありありがたいです。,0,0,0,0,0,1,0
風呂とトイレが別で一人暮らしの部屋の様です。,0,0,1,0,0,0,1
朝食もバイキング形式で美味しいです。,1,0,0,0,0,0,0
朝食の満足度が高い事に加えて何よりもフロントのサービスに一番満足しています。,1,0,0,1,0,0,0
いつも気持ちいい接客をありがとうございます。,0,0,0,1,0,0,0
期待を大きく上回るサービスでした。,0,0,0,1,0,0,0
立地の良さは予約した時からわかっていましたが、繁華街の真ん中にあんなに素敵な温泉があるとは思いませんでした。,0,0,0,0,1,0,0
水風呂も常温ではなく、冷たく気持ちの良いものでしたし、タオルなども部屋のタオルとは別に用意されているなど心配りがされていました。,0,0,1,0,0,1,0
夜泣きそばのサービスは面白いなと思いましたが、満腹だったので味わいそこないました。,0,0,0,1,0,0,0
立地もよく、きれいで最高。,0,0,0,0,1,0,0
すりガラス残念そして、高額すぎあと、コーヒが飲めますが大荷物だったため部屋に運ぶのを断念部屋でインスタントでもあればいいのにな！と思いました。,0,0,0,1,0,1,1
立地はベイサイドステーションの目の前で、徒歩2分位で着くため非常に良いです。,0,0,0,0,1,0,0
PARKWINGルームは、洗い場ありの風呂のため、ゆったり出来て良かったです。,0,0,1,0,0,0,0
オーシャン・ドリームルームは、パーク側であればテラスに出てディズニーの余韻に浸れます。,0,0,0,0,0,0,1
食事付きプランだったため、ビュッフェ式の朝食をいただきましたが、味、量、質ともに申し分ありません。,1,0,0,0,0,0,0
また、プール、スポーツジム、ゲームセンター、卓球、ディズニーショップなども館内にあり、ディズニーを楽しんだ翌日の滞在もかなり楽しめました。,0,0,0,0,0,1,0
初めての宿泊で楽しみにしていたが、お部屋がオーシャンビューでなかったのが大変残念だった。,0,0,0,0,0,0,1
見える景色が崖崩れした山だった。,0,0,0,0,0,0,1
温泉付きのプランにしたが、思ったより小さく、別料金だと2000円くらいするらしいが、それは高すぎると思った。,0,0,1,0,0,0,0
受付担当された方の態度が最高に悪い！,0,0,0,1,0,0,0
部屋も前の人のかツケマツゲが置かれていてすごい不快な思いをした。,0,0,0,1,0,0,1
食事も朝からゴージャスでおいしかったです。,1,0,0,0,0,0,0
宿は、大変古いですが、温泉は源泉かけ流しで、ゆったり入れて最高です。,0,0,1,0,0,0,0
朝食では、おいしいアジの干物を３枚食べました。,1,0,0,0,0,0,0
食事、風呂の他、働いている方のサービスも好感が持てます。,1,1,1,1,0,0,0
最新の洋画の吹き替え版が、多いのと、食事と入浴が、特に気に入ってます。,1,1,1,0,0,1,0
当日は天候が悪かったのですがホテルは全てにおいて良かったです。,1,1,1,1,1,1,1
お部屋もグレードアップして頂きお食事も全て美味しく品数も多く食べきれずギブしました。,1,1,0,1,0,0,1
ホテルの入口からロビーも庭もすべて豪華すぎでした。,0,0,0,0,0,1,0
ゴージャスすぎてセレブ感を味わえた気がしました。,0,0,0,0,0,1,0
お風呂も打ち上げ花火も最高です。,0,0,1,1,0,0,0
残念なのはアジア系外国人のマナーの悪さだけですね。,0,0,0,1,0,0,0
ロビーや部屋はとてもきれいで気持ちよく、フロントの方も感じが良かったです。,0,0,0,1,0,1,1
ドーミーインはどこもそうですが、大浴場のデザインや照明が素敵で癒されます。,0,0,1,0,0,0,0
サウナも暑すぎず、木の香りが良くてゆっくり入れました。,0,0,1,0,0,0,0
ステーキは美味しかったです。,0,1,0,0,0,0,0
一泊の料金が、自分にとってはややお高めなので、ほぼ大浴場のために奮発して泊まっていると思っています。,0,0,1,0,0,0,0
肥後橋駅からほぼ直結でアクセスは最高。,0,0,0,0,1,0,0
２Fには広々した大浴場があり、ラドン温泉で大満足。,0,0,1,0,0,0,0
朝食も２Fでのバイキング（種類豊富）と３０Fのベトナム料理が選べる。,1,0,0,0,0,0,0
後は・エレベータが４機しかないのでチェックアウト（7:30-9:00）時間は相当待たされる。（低層階の人は特に）,0,0,0,1,0,1,0
・シングルの部屋はメチャクチャ狭い（寝るだけなら問題無い）。,0,0,0,0,0,0,1
朝食のサービスが、良かったです。,1,0,0,0,0,0,0
又、ウエルカムスープが、うれしかったです。,1,0,0,0,0,0,0
他の方も投稿されていますが、空調があまり効かず生ぬるい部屋で過ごしました。,0,0,0,0,0,1,0
トイレとお風呂がセパレートだったので良かったです。,0,0,1,0,0,0,1
朝ご飯も美味しくて野菜も食べれて有り難かったです。,1,0,0,0,0,0,0
枕も良かったので、ぐっすり寝れました有り難うございました,0,0,0,0,0,1,0
三連休中日にもかかわらず、広い部屋にアップグレードしていただきたいへん快適に過ごせました。,0,0,0,1,0,0,1
欲をいえば日本茶のティーバックだけでなく、コーヒーか紅茶があれば満点でした。,0,0,0,0,0,1,0
チェックインするときに、ホテルのご厚意で羨望の良いお部屋にしていただき、満月と夜景がきれいに見えました。,0,0,0,1,0,0,1
食事は、5:30?にするとビールがサービスになって、又お料理はコックさんのセンスが光るとても美しい盛り付けの美味しいコース料理でした。,0,1,0,1,0,0,0
お給仕の方も明るくて楽しいお食事時間でした。,0,1,0,1,0,0,0
お風呂がトイレと一体型のユニットバスで、最初、用を足すのに扉を開けると臭ったのが残念なところでした。,0,0,1,0,0,0,1
相対的にとても良いホテルだったと思います。,1,1,1,1,1,1,1
お盆の時期、初めての新潟市内のため、駅から近いホテルを選びましたが、新潟駅からわかりやすい立地で良かったです。,0,0,0,0,1,0,0
せっかく、一番上の階にしていただいたのに、見えるのは隣のビルのみで残念。,0,0,0,0,1,0,0
子供連れの方とかもいましたが、廊下・近くの部屋とも静かでよく眠れました。,0,0,0,0,0,1,1
無料のコーヒー・レモンウォーターが嬉しかったです。,0,0,0,0,0,1,0
前回同様、チェックインはラウンジで飲み物を頂きながらゆっくりできるのが良かったです。,0,0,0,0,0,1,0
食事会場がリニューアルされて、とてもきれいになっていました。,0,0,0,0,0,1,0
ライブキッチンで沢山のシェフが次々に料理を作っていました。,1,1,0,0,0,0,0
種類も豊富で、特に夕食のローストビーフと朝食のフレンチトーストがおいしかったです。,1,1,0,0,0,0,0
子供はコールドストーンのアイスクリームに喜んでいました。,1,1,0,0,0,0,0
宿泊したのは和室で以前からのお部屋ですが、特に問題なく快適に過ごせました。,0,0,0,0,0,0,1
ちょっと部屋が乾燥していたので、お風呂で使ったタオルを部屋干ししました。,0,0,0,0,0,0,1
お風呂も広々としていていいお湯でした。,0,0,1,0,0,0,0
スタッフの皆さんの対応も大変良かったです。,0,0,0,1,0,0,0
食事が部屋付きのダイニングだったのは、とても良かったです。,1,1,0,0,0,1,0
到着してすぐに足湯につかり、少し疲れをとってから散策に出かけることもできました。,0,0,0,0,0,1,0
窓を開けてお風呂に入ると、川のせせらぎと鳥のさえずりが聞こえるとてもいい部屋でした。,0,0,1,0,0,0,0
また機会と予算があれば利用したいです。,1,1,1,1,1,1,1
スタッフの皆様ありがとうございました。,0,0,0,1,0,0,0
最上階のお部屋で眺めがよかった。,0,0,0,0,0,0,1
朝食の洋食レストランは、すごく空いているにもかかわらず、2名だったせいか通路沿いの変な席に案内されたのがちょっと...,0,0,0,1,0,0,0
フロントのスタッフの愛想に差があり過ぎかと思います。,0,0,0,1,0,0,0
夏はツインで広い部屋でしたが、今回はシングル、狭いのが心配でしたが、それほど圧迫感もなく、快適に過ごせました。,0,0,0,0,0,0,1
隣や外の騒音も聞こえることなく、静かに過ごせました。,0,0,0,0,0,0,1
朝食はカフェ風で、量もたっぷりです。,1,0,0,0,0,0,0
夕食が完全バイキングでないのは、選択する場所が限られ、待ち時間が少ないので、とても良かったです。,0,1,0,0,0,0,0
特に天ぷらが揚げたてで食べられたので、そればっかり食べてしまいました。,1,1,0,0,0,0,0
部屋は川と山全体が見え、大満足です。,0,0,0,0,0,0,1
こちらのホテルは特にベッドの寝心地が良すぎて、朝食後チェックアウトぎりぎりまで二度寝してしまうぐらいでした。,0,0,0,0,0,1,0
かつお、普段食べている物とは比べ物にならないくらいおいしかったです！,1,1,0,0,0,0,0
夕食はホテル内の居酒屋で済ませましたが金額も良心的で良かったです。,0,1,0,0,0,1,0
朝食もビュッフェのメニューが豊富で美味しかったです。,1,0,0,0,0,0,0
温泉で有り、宿泊代のコスパが良いと思います。,0,0,1,0,0,0,0
HPの間取り図を見てトイレお風呂が別だと思い予約しましたが、実際は一緒でした。,0,0,0,0,0,0,1
すぐフロント確認しましたが確認しますと言われてから何の返答もなし。,0,0,0,1,0,0,0
ホテルマンの対応としては初めての対応です。,0,0,0,1,0,0,0
ロイヤルツイン取った意味がありませんでした。,0,0,0,1,0,0,0
指摘したのにもかかわらずHPはそのままです。,0,0,0,1,0,0,0
朝食はこれでランキング入ったの？ってぐらいです。,1,0,0,0,0,0,0
6年前の同じ日、結婚記念日の思い出に利用しましたがとてもよかったので今回も利用しましたが、前回と打って変わりサービスの悪さにショックを受けた。,0,0,0,1,0,0,0
まず到着前に電話を入れ、記念日であることを告げ、前回露天風呂付の部屋でバラ風呂であった事を妻がとても喜んでいたので今回もお願いしたいと頼むが、確認すると言ったきり連絡なし。,0,0,0,1,0,0,0
当日到着後フロントで確認するも聞いていないとの返事。,0,0,0,1,0,0,0
そして今はそのサービスはやっていないとあっさり断られた。,0,0,0,1,0,0,0
別途費用でもやって欲しかったサービスだけに何かしら連絡が欲しかった。,0,0,0,1,0,0,0
部屋に入ると暖房も入っていない寒い部屋。,0,0,0,0,0,0,1
すぐにトイレを利用したら、手洗い場にタバコの灰がそのまま、トイレのごみ箱には吸い殻が入っていました。,0,0,0,1,0,0,1
フロントにすぐ連絡して掃除を頼み、掃除してもらっている間に着替えようと浴衣を探すと、浴衣の上に着る「半纏」が5枚？,0,0,0,1,0,1,0
2人で予約しているのになぜ5枚？と思いつつも広げると3枚の半纏は袖が汚れた状態。,0,0,0,0,0,1,0
2枚は紐がきれいに結んであることを考えると前の使用した半纏をただ畳んで置いてあるとしか思えずこれもフロントに報告。,0,0,0,1,0,1,0
副支配人が対応してくれましたが「もうしわけありません。」の一点張り。,0,0,0,1,0,0,0
食事時お詫びにワインを頂き、仲居さんが記念日を一生懸命盛り上げてくれたので食事もおいしく楽しく頂くことができた事だけが救いでした。,0,1,0,1,0,0,0
今後サービスの向上に努めていただきたいと切に願いあえて書き込みさせて頂きました。,0,0,0,1,0,0,0
温泉街から少し離れているので、心配しましたがバスが30分おきに出ていたので良かったです。,0,0,0,1,1,0,0
浴衣の上着やタオルを入れるカゴも色んな色があったので嬉しかったです。,0,0,0,0,0,1,0
部屋は2人で泊まるには勿体ないくらい広く良かったですが、ポットが床にあったので、それは何か机の上に置いといてほしかったです。,0,0,0,1,0,0,1
部屋からの景色も良かっです。,0,0,0,0,0,0,1
料理はたくさんの種類もあり、刺身もお肉も美味しかったです。,1,1,0,0,0,0,0
温泉も清潔で半露天風呂も良かったです。,0,0,1,1,0,0,0
ホテルが新しくて清潔。,0,0,0,1,0,1,1
アメニティが充実している。,0,0,0,0,0,1,0
天気が悪くて窓の外は工事の足場がありましたが、朝食時は海を眺めながらのバイキングを楽しめました。,1,0,0,0,1,0,1
朝食は種類も多く美味しく頂けました。,1,0,0,0,0,0,0
ただ一つ、チェックインの際、予約の用紙の紙、名前の漢字が間違っていました。,0,0,0,1,0,0,0
唱ではなく晶と書きます（女性のフロントでした）紛らわしい字もありますから、特にお客様の名前の表示は慎重にパソコンで打った方がいいですね。,0,0,0,1,0,0,0
ウェルカムドリンクが24時まで利用出来て、部屋に持っていくことも出来るのは良かったです。,0,0,0,0,0,1,0
朝食の無料サービスも便利だと思いました。,1,0,0,0,0,0,0
ホテルの下にセブンイレブンがあるので、何かと便利でした。,0,0,0,0,1,0,0
空調が集中管理なので、ちょっと暑かったのですが、部屋で調節できないのが困りました。,0,0,0,0,0,1,0
お部屋は清潔で過ごしやすかった。,0,0,0,1,0,0,1
五名なので、次の間の布団二枚は、窮屈だった。,0,0,0,0,0,1,0
風呂場にfaceタオルなどあると、良いと思った。,0,0,1,0,0,1,0
お食事は、朝も夜もとても美味しくお腹いっぱいになりました。,1,1,0,0,0,0,0
庭園も、緑が鮮やかで開放的で気持ちが良かったです。,0,0,0,0,0,1,0
あいにくの天気でしたが、翌日は雨も上がりカモメが窓辺にとまり部屋をのぞき込む愛らしい姿を見ることができました。,0,0,0,0,0,0,1
お部屋は広いうえにチェックアウトは12時まででしたのでゆったりと過ごすことができました。,0,0,0,1,0,0,1
昨年も宿泊し、お料理のおいしさに感激しましたが、今回も、生ウニ、アワビの踊り焼き、キンキの煮付け、フカヒレの姿煮と、海鮮好きの私にとっては大満足のお料理でした。,1,1,0,0,0,0,0
平日だったこともあり、お風呂も混み合うことなくのんびり過ごしました。,0,0,1,0,0,0,0
素敵なお部屋から見る景色とお料理に大満足でした。,1,1,0,0,0,0,1
全体的に清潔感があり、清掃が行き届いていると思いました。,0,0,0,1,0,0,0
夕朝食は、年齢問わずおいしく頂けると思います。,1,1,0,0,0,0,0
バイキングはとても満足でした。,1,1,0,0,0,0,0
カナダフェァーもお得で、ブリがとてもおいしく５皿食べました。,1,1,0,0,0,0,0
アルコール飲み放題が１９００円なので、もう少し安いと良いと思いました。,0,1,0,0,0,0,0
お土産も充実しているので、ここですべて買いました。,0,0,0,0,0,1,0
周りに近いコンビニがないの少し不便。,0,0,0,0,1,0,0
