text,breakfast_po,breakfast_ne,dinner_po,dinner_ne,bath_po,bath_ne,service_po,service_ne,state_po,state_ne,facility_po,facility_ne,room_po,room_ne
施設自体は若干古さを感じましたが、普段と違って、のんびりと温泉で過ごすにはちょうど良かった感じです。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
お風呂は多くて、楽しいのですが、時間割が女性優先が多く、要注意です。,0,0,0,0,1,1,0,1,0,0,0,0,0,0
個人的には、とてもいいホテルなのにとても残念。,1,1,1,1,1,1,1,1,1,1,1,1,1,1
メニューの選択肢が少なかったのが残念でしたが、連れは刺身の盛り合わせが美味かったと。,0,0,1,1,0,0,0,0,0,0,0,0,0,0
大浴場は、お湯が柔らかく気持ちが良いが、洗面所の上の方は埃が溜まっているのでドライヤーの際に、埃が舞っていたのが不快、それと、口々にクレンジングクリームが部屋にしかないので、困ったと言っていたので大浴場にも置いたら良いかと思う。,0,0,0,0,1,1,0,1,0,0,0,1,0,0
外国人の方が例え片言でも、あれだけ一生懸命に丁寧な対応ができるのに、フロントにいらっしゃる、恐らく勤続年数も経験も豊富だと思われる日本人のスタッフの接客に何一つおもてなしの心がないと言うのはどう言う事ですか？,0,0,0,0,0,0,1,1,0,0,0,0,0,0
いつも、鉄道利用ですが、少し駅から離れているのですが最近は駅北の再開発により周辺が発展して歩きやすさなど利便性が大変向上しましたし、ホテルに到着すれば、旧アーケード街にも近いという楽しさもあります。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
最寄りの舞阪駅と結ぶ無料シャトルバスを利用できますが，本数が限られているので要注意です．,0,0,0,0,0,0,1,1,0,0,0,0,0,0
お部屋は、３階でしたが眺望は良かったですが、昔ながらの旅館を改装しました感が半端なかったです。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ただ、夫ですら量が多いと言うくらいのボリュームで、私も子供も食べきれませんでした。（変わりに夫が頑張って食べてくれましたが）,1,1,1,1,0,0,0,0,0,0,0,0,0,0
全体として満足ですが、フロントの方がもう少し笑顔があるとうれしかったです。,1,0,1,0,1,0,1,1,1,0,1,0,1,0
すごくいい感じのホテルだと思っただけに、ぐっすり時間まで眠れないのはとても残念でした。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ただ残念だったのが、コインランドリーがあったのはとても助かりましたが先客の方達が終わっているにも関わらず三台とも取りに来られてなくて難儀しました。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
あえて意見を言わせもらえれば、2点ありましてルミナの無料チケット（腕に巻く入場券）をチェックイン時にいただけたので、しっかり行きましたが、そのチケットを誰にもチェックされずに部屋に戻れました。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
しかし、メインとなる出口とは反対側なのでチェックイン後に買い物や観光をする場合には少し歩く必要があります。とは言っても、大した距離じゃないので苦には感じません。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
朝食バイキングの料理はとても美味しくいただきましたが、テーブルに予約席予約席と、札が立っていて狭い席しか空いてなくて、ちよっと、嫌な思いをしました。,1,1,0,0,0,0,0,0,0,0,0,1,0,0
夕食は美味しかったですけど、蟹が細くて薄い…残念でした。,0,0,1,1,0,0,0,0,0,0,0,0,0,0
全体的には満足ですが、ちょっと淡白かな。,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ロケーションは抜群だが砂浜ではないので下には降りられません。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
周りに何もないので、少々買い込んでいく必要がありますが、静かに過ごせて満足です。,0,0,0,0,0,0,0,0,1,1,1,0,1,0
お料理は沢山あり、満足でしたが、お皿、コップの汚れが残っていたのが気になりました。,1,1,1,1,0,0,0,1,0,0,0,1,0,0
繁忙時間のスタッフ不足はやや感じましたが、親切に対応してくださいました。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ありがたいことに、空気清浄機が備え付けられていたので、使用しようと思ったら、空気清浄機の上にもうっすらホコリが・・・。,0,0,0,0,0,0,0,1,0,0,1,1,0,0
すごく素敵なお部屋なので、掃除が行き届いていないのは本当にもったいないと思います。,0,0,0,0,0,0,0,1,0,0,0,0,1,1
食事も素晴らしいですがビュッフェだったのでスペースが狭いため後ろの方が気になりあわててしまいました。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
赤沢亭で頂いた夕食は美味しかったですが、唐揚げの油が古く匂いが気になりました。,0,0,1,1,0,0,0,0,0,0,0,0,0,0
品数が豊富で賑やかな御膳でしたが、味はそこそこ。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
駅までの送迎も助かりましたし、それ以外はとても満足です！,1,0,1,0,1,0,1,0,1,0,1,0,1,1
水回りは変わらず掃除が甘いですが、部屋の居心地はいいのと、温泉があるので気に入ってます。,0,0,0,0,1,1,0,1,0,0,0,0,1,1
また、子供作務衣120cmを1枚頼んだのに、渡された袋の中には90cmが2枚だったり、せっかく無料アメニティとお部屋の清潔さが素晴らしいだけに残念でした。,0,0,0,0,0,0,1,0,0,0,1,1,1,0
また、部屋も古かったのですが、畳が綺麗でしたので、特段問題はありませんでした。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
お部屋は狭いですがカプセルとは違い個室感があり、満足です。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
立地的に最上階のお風呂からの眺めは当然いいのですが、内湯も露天風呂も浴槽が小さくて、二人も浸かればあとの人は入れません。,0,0,0,0,1,1,0,0,1,0,0,0,0,0
何故かお見送りは調理場のスタッフの方が出てこられて、我々の姿が見えなくなるまで見送ってくれたので、フロントのスタッフの質がとても残念でした。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
露天風呂は狭いので時間によっては入れないかもしれませんが風情のあるお風呂でとてもよかったです。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
朝食会場も混雑していて、お蕎麦と天ぷらを1人で担当しているのは大変そうでしたが、美味しく頂きました。,1,1,0,0,0,0,0,1,0,0,0,0,0,0
マットレスにエアウィーヴを使用しているのは良いですが、変わった枕を採用してあり使い方に悩んでしまいました。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
立地、最上階、部屋からの景色、エアウィーヴ等の良い点と比較しても、次の機会に泊まるかは疑問です。,0,0,0,0,0,0,0,1,1,0,1,1,1,1
朝食は美味しいのですが、流石に後半は飽きました。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
駅からは遠めですが、近辺にコンビニも多く駅前より実は周辺環境便利です。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
母が食い下がったところ別のスタッフが来て案内してくださったそうです。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
冬なのでプールは2組しかおらずとにかく寒い…水はぬるく部屋も暖かくないので見てる親も寒いです…でも子供はプールが楽しかったと言っていたので風邪引かないように注意です！,0,0,0,0,0,0,0,0,0,0,1,1,0,0
食事は美味しかったですが冷めてた分もあり少し残念でした。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
リーズナブルな価格で、夕食も部屋食、大変美味しく大満足でしたが、私達には少し多過ぎた様で、残してしまいました。,0,0,1,1,0,0,0,0,0,0,0,0,0,0
男風呂は、一番端のシャワー固定金具がグラグラ以外は非常に満足です。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
肉はおいしかったですが、飲み物何に致しますかと聞いたのでサービスかと思いウーロン茶頼んだら一杯５００円でした。,0,0,1,1,0,0,0,0,0,0,0,0,0,0
エントランスがちょっと、高級感がなかったので驚きましたが、その他の点では、満足してゆっくり過ごせて良かったです。,1,0,1,0,1,0,1,0,1,0,1,1,1,0
清掃は行き届いているが、相変わらずバルコニーはペンキも禿げて傷んだままで利用困難。,0,0,0,0,0,0,1,0,0,0,0,0,1,1
お部屋（2部屋）も古いですが広く綺麗に掃除がされていて、気持ち良く過ごしました。,0,0,0,0,0,0,1,0,0,0,0,0,1,1
食事はおいしかったが豪華ではなかった。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
結論は食事、サービスに関しては大満足ですが、設備が老朽化しており、適切なメンテナンスが行われておらず不潔な印象でした。,1,0,1,0,0,0,1,1,0,0,0,1,0,0
料金を考えると十分なのですが、欲を言えば、もう少し味にこだわってほしいなあと思うメニューがありました。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
部屋はビジネスホテル風でリゾート感に少し欠けてたけど、５階ということもあり眺めが良かったです。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
屋上の露天風呂は徒歩で登るのが大変ですが、雪が降る中の露天というロケーションは有り難いものです。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
・内装フロントのある1階と室内は改装されたのか新しくて清潔感ある印象でしたが、エレベーターや階段は若干古さを感じる点もありました。,0,0,0,0,0,0,1,0,0,0,1,1,0,0
なぜ目の前の荷物から確認しなかったのか、不思議です…設備・アメニティ?広く、きれいでとても良かったです。,0,0,0,0,0,0,1,1,0,0,1,0,0,0
部屋や設備は他の方もコメントされていますがそれなりに年期ははいっていますが気持ちよく利用できます。,0,0,0,0,0,0,0,0,0,0,1,1,1,1
部屋はコンパクトながら、使い勝手が良く快適に過ごせました。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
食事については、まあまあ豪華ではないものの質素でもないという印象です。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
部屋の灯りに異変が起こり対応をお願いしましたができず、帰りにお詫びの言葉と貰いました。,0,0,0,0,0,0,1,1,0,0,0,0,0,1
そして味は変わらず美味しかったのですが品数が明らかに減ってたような…チャンプルー系は無く（シリシリはあった）ジーマーミ豆腐もありませんでした。（３年前にはあったので楽しみにしてた）,1,1,0,0,0,0,0,0,0,0,0,0,0,0
日替りなのかもしれませんがせめて楽天トラベルの写真に投稿している品物くらいは揃えてほしいものです。（海ぶどうも見当たらなかった）,1,1,0,0,0,0,0,0,0,0,0,0,0,0
前回同様、子連れに配慮された部屋選びで嬉しい反面、また同じなんだというがっかり感もありました。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
部屋、貸切風呂には化粧水などは置いてないため持参した方がいいですが、大浴場はシャンプーも選べるように設置してあるし、オールインワンジェルも置いてありよかったです。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
館内はさすがに古さも感じたけど、キレイに掃除が行き届いていたし、悪い印象は無かったです。,0,0,0,0,0,0,1,0,0,0,1,1,0,0
TVの操作だけ少し戸惑ったくらいで設備も充分。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
駅からは遠いですが、ディズニー往復の大きなバスがあるので便利です。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ここは部屋は広くはありませんが、シャワールームとトイレが扉で区切られていたり、入り口とベッドスペースの間に扉があったりと間取りがよかったです。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
・朝食は美味しかったですが、オムレツは定番過ぎるので、ライブでパンケーキを焼いて頂けると美味しくて朝から幸せになれると思います。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
部屋はそれなりに良かったのですが、洗面室からお風呂方向が下水臭く結構残念でした。,0,0,0,0,0,1,0,0,0,0,0,0,1,1
但し部屋に案内して頂いたとき既に、床の間生花の花びらが落ちて散らかっており、すぐに目に入り片づけて貰おうかとも思いましたが、とても対応の良い部屋係りの方だったので言いませんでした。,0,0,0,0,0,0,1,1,0,0,0,0,0,1
景色はいいのに窓ガラスも汚い。,0,0,0,0,0,0,0,1,0,0,0,0,1,1
朝食は美味しいけどバラエティに欠ける。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
設備の古さ等は、ありますが、いい意味でレトロ感満載の施設かと。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
朝食は，種類はいろいろあるのですが，おそらく前にとりわけた人がぐちゃぐちゃにとりわけたからだと思いますがお皿の料理がぐちゃぐちゃでちょっと手が出しにくかったです．,1,1,0,0,0,0,0,0,0,0,0,0,0,0
他は文句のつけようなしです。,1,0,1,0,1,0,1,0,1,0,1,1,1,1
シャワーブースのみですが、その分スペースが広くて快適です。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
サーモンの刺身も美味しかったけど競争率が高くすぐ無くなる。,0,0,1,1,0,0,0,0,0,0,0,0,0,0
フロントにコーヒーメーカーとフレーバー違いの水が数種類置いてあり、無料で飲めるので有難いのですが個人的にはオレンジかレモン味の様な普通のも置いて頂けると有難いかな。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
部屋は10畳で広いのですが、トイレがバス付ユニットのため窮屈な思いをしました。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
帰り、車を玄関まで持ってきてくれましたが、庇がないので荷物をトランクに積む際、雨に濡れてしまいました。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
駅からも、繁華街（すすきの）からも若干距離がありタクシー移動が必要になりますが、（良い意味で）昭和の古いホテルらしく、建物は重厚で部屋が広く快適に過ごせました。,0,0,0,0,0,0,0,0,1,1,0,0,1,0
敷地内の駐車場は狭かったけど、部屋は広いし朝食も美味しくて、アメニティーバーも充実していました。,1,0,0,0,0,0,0,0,0,0,1,1,1,0
建物の古さは感じましたが、管理は行き届いていると感じました。,0,0,0,0,0,0,1,0,0,0,1,1,0,0
子供もこのメニューかと思っていたので、お子様メニューと聞いた時はがっかりしましたが、けっこうボリュームもあり、良かったがチキンライスは美味しくなかった。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
部屋は狭いが、トイレ、洗面所が広くて使いやすかった。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
浴室が広いのは良いのですが、非常に残念なことに、生乾きの雑巾のような悪臭がしました。,0,0,0,0,1,1,0,1,0,0,0,0,0,0
またせっかく海が見える眺望の良い部屋に泊まったにもかかわらず、窓に指紋が少なからずついており、興ざめでした。,0,0,0,0,0,0,0,1,0,0,0,0,1,1
建物の古さは多少感じましたが、ロビー、お部屋ともきれいでした。,0,0,0,0,0,0,1,0,0,0,1,1,1,0
駅からは少しあると思いますが、車利用なら名古屋駅や栄の繁華街よりも利用しやすいと思います。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
これがなければ、満点だった宿泊でした。,1,0,1,0,1,0,1,1,1,0,1,0,1,0
朝食は品数は多くは無いが、豚汁や肉団子がおいしく大満足だった。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
コンビニが近くにありましたが、ホテル周辺に飲食店が少ないのが、少し残念でした。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
朝食のバイキングは品数はそこそこに揃っっていましたが、お米とか魚、ソーセージなど基本的な素材の質がイマイチ。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
温泉は、少し塩素の匂いがしましたが、やや熱めの温度で好みでしたし、晴れていたので露天風呂も気持ち良かったです。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
お風呂はよいと思いますが、朝風呂を是非ともご検討くださいませ。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
料理がおいしいし、何度も宿泊してますが部屋もくつろげるし、フロントスタッフも親切ですが、もったいないです。,1,0,1,0,0,0,1,1,0,0,0,0,1,0
部屋のフロアリングは良いが、一部マットを引くなど、室内改善も今後期待したい。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
温泉お風呂はやや小さめですが、十分に体を休めることができました。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
お料理は美味しく戴きましたが少し残念でした。,0,0,1,1,0,0,0,0,0,0,0,0,0,0
女性風呂はもっと良かったらしい。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
朝食は、バイキングですが、他の温泉ホテルと同程度です。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
オムレツも目の前で焼くのはOKですが、プレーンのみ。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
また部屋はまあまあでしたが、朝食付きプランで翌日楽しみに行きましたが、種類がすくなくちょっとがっかり。,0,1,0,0,0,0,0,0,0,0,0,0,1,1
新宿駅からは遠かったですが、静かで落ち着ける環境でした。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
着いた時は失礼ながら外観に「ボロい」という印象を持ちましたが、館内は清掃が行き届いていました。,0,0,0,0,0,0,1,0,0,0,1,1,0,0
部屋も清潔にされておりましたが、トイレのドアや壁に染み付いたのであろうアンモニア臭が気になりました。,0,0,0,0,0,0,1,1,0,0,0,0,1,1
愛知県内にしてはお湯が良いのに残念です、他の温泉街を見習ってください。,0,1,0,0,1,1,0,1,0,0,0,0,0,0
設備は新しいとは言えないが（その分お得な価格設定）部屋には生花も活けられ掃除も行き届いている食事も個室タイプのところで他の人を気にすることなくいただけ、何よりすべて美味しい。,1,0,1,0,0,0,1,0,0,0,1,1,1,0
残念だったのは、浴室のカーテンがカビだらけなのと、換気扇にホコリがたまっているようで他の客室空間が清潔感がある中と比べてのギャッpyに掃除が行き届いているのかの点については疑問でした。,0,0,0,0,0,0,1,1,0,0,0,0,1,1
フロントはまだまだ不慣れな感じで少し列が出来待ちましたが韓国人？のスタッフも含め一生懸命対応され好感が持てました。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
部屋は決して広くはないですが、不自由はありません。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
部屋の古さは感じましたが、個人的には許容できます。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
●スタッフ…みなさん丁寧だが朝晩のスタッフのレベルが違いすぎる。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
朝は年配スタッフの皆さんが素晴らしい対応をしてくれますが、夜は若い男性ばかりで正直不安になる点も…丁寧ですが学生バイト感はぬぐえない。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
唯一の欠点と言えば、夕食の近江牛はちょっとかかりしましたなと思って、でもお野菜をたっぷりいただきました！,0,0,1,1,0,0,0,0,0,0,0,0,0,0
那須塩原ICから少しありますが、街道も情緒があり、時間を感じさせません。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
お風呂は男女入れ替えがなくて少し残念ではありましたがお肌がツルツルになりました。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
最上階の宿泊は満足してますが観望がいつもイルカがいない方の海側（3回目）なので残念でした。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
お料理もボリュームがありとても美味しいです、しいていえばメニューが少し替わると嬉しいです。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13階レストランでいただく朝食は景色が良く、美味しかったですが、品数が少し寂しい感じでした。,1,1,0,0,0,0,0,0,1,0,0,0,0,0
・コインランドリーが無料（連泊だからか、スタッフさんが『洗濯はどうされますか？』とわざわざ聞いてくれた）・レンタサイクルなどの割引券がもらえた【気になった点】・無料コインランドリーの乾燥機の操作がややわかりづらかった。,0,0,0,0,0,0,1,0,0,0,1,1,0,0
設備は古いが壁紙等はリフォームされていて全体的にキレイでした。,0,0,0,0,0,0,1,0,0,0,1,1,0,0
イルミネーションが見えやすい部屋にしてくれたので我慢しましたが、グレードアップでなければ部屋交換レベルでした。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
味はとても美味しいとは思いましたが、ご飯のおかずになるものを増やし・珍味系は減らすなど、もう少し改善は必要かなと正直思いました。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ホテル周辺は居酒屋は見当たりませんでしたが、焼き肉店が目につき、せっかくなので近江牛を頂きました。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
お風呂も良かったですが、他にも温泉露天風呂や岩盤浴などあったら、最高だなーと思いました。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
祝日で宿泊者多かったのですが、風呂は他の客が居なく貸し切りのようにゆっくり入浴できたのですが、欲を言えばもう少し露天風呂が大きければいいなと思いました。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
朝食に関しては、前回よりもメニューが少なくなった気がするが、味は美味しいのでヨシかな。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
温泉の質は良かったのですがもう少し種類が多いとより湯宿を楽しめたかなと思いました。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ホテル全体的に昭和チックで古さを感じますが、清潔感があり大変良かったです。,0,0,0,0,0,0,1,0,0,0,1,1,1,1
おもてなし精神は随所で感じるが、シャワーカーテンが臭い、ウオッシュレットが旧式で便座が冷たいなど、改善してほしい点も。,0,0,0,0,0,0,1,1,0,0,0,1,0,1
小さくて、とても狭いのですがそれだけに、ウッドカウンターの大きな窓からの景色が飛び込んできます。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
連泊でしたので、ベットシーツ交換不要のカードの上に、翌朝メモにトイレの清掃と消臭をお願いしたい旨を書いておいたのですが、帰ってみるとベットはきれいにメイキングされてましたが、ユニットバスは全く臭いがとれてませんでした。,0,0,0,0,0,1,1,1,0,0,0,0,0,0
お部屋は多少経年は感じられるものの、清潔でした。,0,0,0,0,0,0,1,0,0,0,0,0,1,1
周りと比べたら小さな宿ですが、とても素敵な旅館でした。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
お風呂自体は小さいですが、部屋数も多くないので混むこともなく、のんびりできました。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
敢えて言えば、白米だけでなく雑穀米とかもあればいいなぁ…今まで鬼怒川で他に3件程の宿に泊まりましたが、こちらが1番良かったねと夫と話しております。,1,1,1,1,1,0,1,0,1,0,1,0,1,0
少し古かったですが、畳や照明、トイレなど新しくて問題ありませんでした。,0,0,0,0,0,0,0,0,0,0,1,0,1,1
客室露天風呂も良かったけど洗い場が無いのが少し残念大浴場も良かったです。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
超ホコリだらけいろいろな意味で見た目だけ重視しているんですね駐車場の係の方フロントの係の方の対応は落ち着いていて安心感あり,0,0,0,0,0,0,1,1,0,0,0,1,0,0
この点を含めると全てにおいて満点という評価にはならないですが、全体的には満足できる内容でまた機会があれば是非、利用したいと思います。,1,0,1,0,1,0,1,1,1,0,1,0,1,0
浴室は整っているが、シャワーなどの調節は難しくて、子供だけでなく大人でも戸惑った。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
フロントの女性は愛想は良いが、とにかく早口で声も小さい。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
立地は少し飲食店と離れているが、徒歩圏内。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
屋上のプールは夜12：00まで、1階の自由スペースは24時間使えるのですがとにかくアジア系外国人だらけ。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
それ以外は良かったです。,1,1,1,0,1,0,0,1,1,0,1,0,1,0
お部屋は、よかったのですが、隣の部屋の声がよく聞こえました。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
食事は温かいものはおいしかったですが、口に合わないものがありました。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
この夏休み時期に「一人旅」の設定があるのはありがたいのですが、やはり、１人は、ほったらかしにされますね。,0,0,0,0,0,0,1,1,0,0,0,0,0,0
別荘地までは交通量の多い歩道のない道路を200mほど歩かせる必要がありますが、それさえクリアすればとても素敵な森林浴気分でお散歩のできるロケーションです。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
・ツルツルの湯は気持ち良かったが、ＰＨ表示が分らなかったのが残念・・・９．０位かな？,0,0,0,0,1,1,0,0,0,0,0,0,0,0
強いて言えば枕元近くにコンセントが欲しかったのと、お部屋の洗面所天井に少しクモの巣が…と言ってもお部屋はとても綺麗だったので満点です。,0,0,0,0,0,0,1,1,0,0,0,0,1,1
食事は前回と全く違うものでしたが、美味しいものの少し量がものたりませんでした。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
卵かけご飯だけでも食べれるのでお腹はいっぱいになりました。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
駐車場が分散していてホテルまでやや歩くが、1，2分のことなので特に苦にはならなかった。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
朝食も美味しかったのですがオープン間もないせいか人気の商品の追加が間に合っていなく、食べられなかったのは少し心残りでした。,1,1,0,0,0,0,0,1,0,0,0,0,0,0
リビング付きですが、広さはあまり広くありません。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
部屋が若干古目ではあるが、全体としては満足。,1,0,1,0,1,0,1,0,1,0,1,0,1,1
内風呂よりも露天の方が湯音が熱いというのはちょっと珍しいパターンだなと思いました。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
あと、些細なことですが、洗面所があんなに綺麗なのに、洗面台が小さく、物が置けない事をご検討ください。,0,0,0,0,0,0,0,0,0,0,0,0,1,1
和食が美味しかった分、洋食部分も、例えば地元のパン屋さんのパンなど、目玉になるものがあればなおうれしいと思いました。,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ただ、さらりとして何度でも入れる温泉も良いのですが、いつもジャグジー露天の前の所が残念です。,0,0,0,0,1,1,0,0,0,0,0,0,0,0
食事はおいしく頂きましたが、朝食会場の宿泊者へのサービスが置き去りにされていた点数評価と受けていただければと考えます。,1,1,0,0,0,0,0,1,0,0,0,0,0,0
お客さまの声は【お支払いになった宿泊代金に対しての満足度をご回答】とされおりオープン価格に見合う食事とは思いますが、サービス価格なのでとは考えにくいと思われます。,1,1,0,0,0,0,0,1,0,0,0,0,0,0
食事も美味しかったのですが、鮑が硬かったです。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
食事も大変美味しく頂きましたが、すき焼きの味が私達には甘過ぎたので、食事だけ４点にさせていただきました。,1,1,1,1,0,0,0,0,0,0,0,0,0,0
設備、アメニティ：必要最低限のものは揃ってありましたが、女性にとっては洗面所の鏡が遠いので大き目の卓上鏡を持っていかれた方が良いと思います。,0,0,0,0,0,0,0,0,0,0,1,1,0,0
立地については主観が分かれると思いますが、瀬底の雰囲気を味わうには大変満足です。,0,0,0,0,0,0,0,0,1,1,0,0,0,0
